id,dialect,text
1146137641181765632,SA,"                                                  اختي اشتغلت فيها كرف مو طبيعي وب  
و طردوهم "
1146158979866906624,SA, قمة ايفرست ينزل لها مطر كيف ذي لا 
1146159133739143168,SA, تجيني كتمه و حاله اغماء 
1146161097617133568,SA, وصلنا نص السنه  لا وظيفه لا شغل لا انجاز و احس ب سعاده مدري على ايه  
1146163061239287808,SA,  وانا ايش دخلني بالطواغيت  
1146195159916454016,SA, قلت لك من امس 
1146222823914057600,SA, الافلام الاكشن الاسيويه مرعبه جدا فيها كمية عنف مايتحمله العقل البشري ابدا 
1147856494135840768,SA," الحياة ماوقفت على احد  ومن حقها تعيش 
للاسف عندنا فئات غير قابله للتطور والرقي 
وعندنا عقليات عندها الزواج يعني قبر 
من حق المراءه تعيش"
1148335204576239616,SA," مااعترف باسم العيال 
اعتقد ان للام اسم من ولادتها ماكانت مجهولة هوية لين جا ورع عرف بها "
1148438542626021376,SA, معمول به من فترة  ولكن الاغلب مافهمه
1148440785282637824,SA,"  الايتام القصر بعد بلوغهم سن  سنه يروح للقاضي يسوي حالة  اثبات رشد  و يطلع له جواز سفر مستقل بعد ماكان تابع 
ويقدر يوكل بنفسه و يسوي لنفسه ابشر اذا كان ذكر اما الانثى تثبت حالة الرشد و الولي في ابشر فقط ب اصدار الجواز و التصريح بالسفر "
1148640296022028416,SA, الي اهلها مايدرون انها مريضه و علمتهم بعد ما تشافت 
1148642613567938560,SA, لا هذي صدق تعبانه
1148969095511101440,SA, مو حلوه ابدا  هي و سان سباستيان 
1149477400977133568,SA,"   انا ما هرجته 
بلكني من باب الوقايه "
1149480672043520000,SA,    تتوقع يكون جاسوس  رأفت الهجان 
1150156504609300352,SA,  اتوقع طالعه شي ناري 
1150177991479238784,SA,    اعتقد هذي قطتك  صحيح 
1150347789064376448,SA,  يعني السلم الجديد نزل الرواتب  
1150554666251542400,SA,   كان خللوه و الا حنطوه قبل ياخذون بنت الناس 
1150567735165894784,SA,   خلاص يخللونه عندهم لا يبلشون بنات الناس فيهم
1150614858901180416,SA, لا ان شالله يارب يرجع
1150891598240276352,SA, اخذ الي بالفواكه دايما الفراولة و التوت يصير اخذت سناك كامل بعد التمرين بروتين و فاكهه
1150915639659421568,SA,"  اما ماتعرفينها  
ولا فاطمة العالمية "
1151887707641208832,SA,         انا كنت استخدم هذي 
1151891062753046400,SA,         ايوا كنت استخدمه مره فالاسبوع و الحمدلله ماكان فيه الاسود الي فالاذن
1152036648621768832,SA, تذكرت الي امس تقول مايحللكم يسالها عنكم يوم الدين 
1152051220363788416,SA,  شكلها تطرد الناس من المصعد و تحشر الرجال فالزاويه 
1152053842537848832,SA,  انا لمن اسمي حيواناتي امسكه و اكلمه اقول له انت اسمك كذا و انا احبك و العبه  حتى الببغانات نفس الشي
1152592807216976000,SA,  لان الريال السعودي مايتعامل فيه ولا يقبل في اسواق الكويت الحرة 
1152597212670713984,SA, اذا موديلها قديم ممكن تكون من قبل المقاطعه موجوده هنا  بس اعتقد مخالف وضعها اذا مطوله وماعدلو استمارتها ولوحاتها
